Timestamp,Session_ID,Fruit_ID,Quality,Area,Status
17:41:08,20260401_174043,51,60.6,51076,LOW
17:41:08,20260401_174043,52,35.9,26244,REJECT
17:41:09,20260401_174043,53,67.3,57600,LOW
17:41:09,20260401_174043,54,31.0,12996,REJECT
17:41:09,20260401_174043,55,46.8,24964,LOW
17:41:09,20260401_174043,56,70.8,57600,LOW
17:41:10,20260401_174043,57,47.8,44944,LOW
17:41:10,20260401_174043,58,67.9,61504,LOW
17:41:10,20260401_174043,59,43.1,26896,LOW
17:41:10,20260401_174043,60,57.3,58564,LOW
17:41:10,20260401_174043,61,46.6,24964,LOW
17:41:11,20260401_174043,62,55.2,56644,LOW
17:41:11,20260401_174043,63,38.9,25600,REJECT
17:41:11,20260401_174043,64,51.0,57600,LOW
17:41:11,20260401_174043,65,22.9,49284,REJECT
17:41:12,20260401_174043,66,43.6,25600,LOW
17:41:12,20260401_174043,67,49.8,53824,LOW
17:41:12,20260401_174043,68,41.3,10816,LOW
17:41:12,20260401_174043,69,33.0,46656,REJECT
17:41:13,20260401_174043,70,69.9,23104,LOW
17:41:13,20260401_174043,71,46.4,25600,LOW
17:41:13,20260401_174043,72,46.8,12100,LOW
17:41:13,20260401_174043,73,55.8,46656,LOW
17:41:13,20260401_174043,74,56.7,44100,LOW
17:41:14,20260401_174043,75,49.4,12100,LOW
17:41:14,20260401_174043,76,58.2,43264,LOW
17:41:14,20260401_174043,77,17.0,15876,REJECT
17:41:14,20260401_174043,78,41.6,42436,LOW
17:41:15,20260401_174043,79,24.8,15876,REJECT
17:41:15,20260401_174043,80,49.8,12100,LOW
17:41:15,20260401_174043,81,34.2,49284,REJECT
17:41:15,20260401_174043,82,28.1,24964,REJECT
17:41:16,20260401_174043,83,60.0,44944,LOW
17:41:16,20260401_174043,84,42.0,41616,LOW
17:41:16,20260401_174043,85,40.3,16900,LOW
17:41:16,20260401_174043,86,54.3,42436,LOW
17:41:17,20260401_174043,87,45.9,40804,LOW
17:41:17,20260401_174043,88,58.8,42436,LOW
17:41:17,20260401_174043,89,40.7,20164,LOW
17:41:17,20260401_174043,90,39.0,5184,REJECT
17:41:18,20260401_174043,91,40.9,19600,LOW
17:41:18,20260401_174043,92,37.5,41616,REJECT
17:41:18,20260401_174043,93,53.5,51076,LOW
17:41:19,20260401_174043,94,34.2,15376,REJECT
17:41:19,20260401_174043,95,59.4,42436,LOW
17:41:19,20260401_174043,96,38.0,40804,REJECT
17:41:19,20260401_174043,97,53.5,52900,LOW
17:41:20,20260401_174043,98,14.1,44100,REJECT
17:41:20,20260401_174043,99,7.7,41616,REJECT
17:41:20,20260401_174043,100,53.4,52900,LOW
17:41:20,20260401_174043,101,57.6,44100,LOW
17:41:21,20260401_174043,102,32.3,40804,REJECT
17:41:21,20260401_174043,103,46.3,6724,LOW
17:41:21,20260401_174043,104,31.8,19600,REJECT
17:41:21,20260401_174043,105,10.1,44100,REJECT
17:41:22,20260401_174043,106,42.2,53824,LOW
17:41:22,20260401_174043,107,50.8,51984,LOW
17:41:22,20260401_174043,108,15.7,41616,REJECT
17:41:23,20260401_174043,109,28.8,27556,REJECT
17:41:23,20260401_174043,110,36.8,46656,REJECT
17:41:23,20260401_174043,111,74.2,112896,LOW
17:41:24,20260401_174043,112,31.9,16900,REJECT
17:41:26,20260401_174043,113,69.6,276676,LOW
17:43:07,20260401_174301,0,40.8,10816,LOW
17:43:08,20260401_174301,1,54.2,10000,LOW
17:43:08,20260401_174301,2,15.5,10000,REJECT
17:43:08,20260401_174301,3,44.1,142884,LOW
17:43:14,20260401_174310,0,57.6,280900,LOW
17:43:18,20260401_174310,1,42.7,145924,LOW
17:43:18,20260401_174310,2,46.4,60516,LOW
17:43:18,20260401_174310,3,50.2,104976,LOW
17:43:19,20260401_174310,4,56.0,4624,LOW
17:43:19,20260401_174310,5,17.8,6400,REJECT
17:43:20,20260401_174310,6,64.1,46656,LOW
17:43:20,20260401_174310,7,48.9,17956,LOW
17:43:20,20260401_174310,8,28.1,4900,REJECT
17:43:20,20260401_174310,9,62.7,19600,LOW
17:43:20,20260401_174310,10,30.6,30276,REJECT
17:43:21,20260401_174310,11,54.6,121104,LOW
17:43:21,20260401_174310,12,37.5,7056,REJECT
17:43:21,20260401_174310,13,56.6,10816,LOW
17:43:21,20260401_174310,14,20.4,4900,REJECT
17:43:22,20260401_174310,15,41.3,12100,LOW
17:43:22,20260401_174310,16,25.0,8100,REJECT
17:43:22,20260401_174310,17,30.5,42436,REJECT
17:43:22,20260401_174310,18,25.5,84100,REJECT
17:43:22,20260401_174310,19,25.3,13456,REJECT
17:43:23,20260401_174310,20,12.5,14884,REJECT
17:43:23,20260401_174310,21,49.7,258064,LOW
17:43:23,20260401_174310,22,19.1,79524,REJECT
17:43:24,20260401_174310,23,52.9,121104,LOW
17:43:24,20260401_174310,24,42.7,331776,LOW
17:43:24,20260401_174310,25,39.8,5776,REJECT
17:43:24,20260401_174310,26,71.1,61504,LOW
17:43:24,20260401_174310,27,32.4,7056,REJECT
17:43:25,20260401_174310,28,43.1,17956,LOW
17:43:25,20260401_174310,29,25.2,4900,REJECT
17:43:25,20260401_174310,30,53.7,16384,LOW
